"Identyfikator Produktu Leczniczego";"Nazwa Produktu Leczniczego";"Nazwa powszechnie stosowana";"Rodzaj preparatu";"Zakaz stosowania u zwierząt";"Nazwa poprzednia produktu";"Droga podania - Gatunek - Tkanka - Okres karencji";"Moc";"Postać farmaceutyczna";"Typ procedury";"Numer pozwolenia";"Ważność pozwolenia";"Kod ATC";"Podmiot odpowiedzialny";"Opakowanie";"Substancja czynna";"Nazwa wytwórcy";"Kraj wytwórcy";"Nazwa importera";"Kraj importera";"Nazwa wytwórcy/importera";"Kraj wytwórcy/importera";"Podmiot odpowiedzialny w kraju eksportu";"Kraj eksportu";"Podstawa prawna wniosku";"Ulotka";"Charakterystyka";"Etykieto-ulotka";"Ulotka importu równoległego";"Etykieto-ulotka importu równoległego";"Oznakowanie opakowań importu równoległego";"Narzędzia edukacyjne dla osoby wykonującej zawód medyczny";"Narzędzia edukacyjne dla pacjenta"
"100468550";"Itracovet";"Itraconazolum";"Weterynaryjny";"";"";"podanie doustne - kot";"10 mg/ml";"Roztwór doustny";"DCP";"3185";"Bezterminowe";"QJ02AC02";"AB7 Santé";"5909991483623 ¦ Rp ¦ 144978
1 butelka 52 ml";"Itraconazolum 10 mg/ml";"AB7 SANTE";"Francja";"";"";"AB7 SANTE";"Francja";"";"";"art. 15a ust. 1";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46855/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46855/characteristic";"";"";"";"";"";""
"100468567";"Chetamol";"Paracetamolum";"Weterynaryjny";"";"";"w wodzie do picia - świnia - tkanki jadalne - 0 dni";"400 mg/ml";"Roztwór do podawania w wodzie do picia";"DCP";"3187";"Bezterminowe";"QN02BE01";"Chemifarma, S.p.A.";"8033629991543 ¦ Rp ¦ 145194
1 butelka 1 l
8033629991550 ¦ Rp ¦ 145195
1 kanister 5 l";"Paracetamolum 400 mg/ml";"CHEMIFARMA S.p.A.";"Włochy";"";"";"CHEMIFARMA S.p.A.";"Włochy";"";"";"art. 15a ust. 1";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46856/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46856/characteristic";"";"";"";"";"";""
"100468574";"Glycophos";"Natrii glycerophosphas";"Ludzki";"";"";"dożylna";"216 mg/ml";"Koncentrat do sporządzania roztworu do infuzji";"IR";"207/22";"2027-05-12";"B05XA";"InPharm Sp. z o.o.";"05909991483272 ¦ Lz ¦ 144989
20 ampułek 20 ml
05909991529925 ¦ Lz ¦ 152987
10 ampułek 20 ml
05909991529932 ¦ Lz ¦ 152988
10 fiol. 20 ml";"Natrii glycerophosphas 216 mg/ml";"";"";"";"";"";"";"Fresenius Kabi Nederland B.V.";"Holandia";"";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46857/parallel-import-files/LEAFLET/public";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46857/parallel-import-files/PACKAGE_MARKING/public";"";""
"100468581";"Diuver";"Torasemidum";"Ludzki";"";"";"doustna";"10 mg";"Tabletki";"IR";"208/22";"2027-05-12";"C03CA04";"InPharm Sp. z o.o.";"05909991483289 ¦ Rp ¦ 144990
30 tabl.";"Torasemidum 10 mg";"";"";"";"";"";"";"Teva Pharma B.V.";"Litwa";"";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46858/parallel-import-files/LEAFLET/public";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46858/parallel-import-files/PACKAGE_MARKING/public";"";""
"100468599";"Nucala";"Mepolizumabum";"Ludzki";"";"";"podskórna";"40 mg";"Roztwór do wstrzykiwań w ampułko-strzykawce";"CEN";"";"";"R03DX09";"GlaxoSmithKline Trading Services Limited";"05909991483296 ¦ Rpz ¦ EU/1/15/1043/010 ¦ 144991
3 amp.-strzyk. 0,4 ml
05909991483302 ¦ Rpz ¦ EU/1/15/1043/009 ¦ 144992
1 amp.-strzyk. 0,4 ml";"Mepolizumabum 40 mg";"GlaxoSmithKline Manufacturing S.p.A.";"Włochy";"";"";"GlaxoSmithKline Manufacturing S.p.A.";"Włochy";"";"";"";"";"";"";"";"";"";"";""
"100468619";"Fulvestrant Cipla";"Fulvestrantum";"Ludzki";"";"";"domięśniowa";"250 mg";"Roztwór do wstrzykiwań w ampułko-strzykawce";"MRP";"28481";"2025-04-18";"L02BA03";"Cipla Europe NV";"05909991549602 ¦ Rp ¦ 157081
1 amp.-strzyk. 5 ml ¦ 1 igła 
05909991549619 ¦ Rp ¦ 157082
2 amp.-strzyk. 5 ml ¦ 2 igły 
05909991549626 ¦ Rp ¦ 157083
6 amp.-strzyk. 5 ml ¦ 6 igieł 
05909991549633 ¦ Rp ¦ 157084
4 amp.-strzyk. 5 ml ¦ 4 igły";"Fulvestrantum 250 mg/5 ml";"";"";"";"";"Laboratorios Farmalán, S.A.";"Hiszpania";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46861/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46861/characteristic";"";"";"";"";"";""
"100468633";"Allopurinol Medreg";"Allopurinolum";"Ludzki";"";"";"doustna";"300 mg";"Tabletki";"DCP";"28038";"2028-10-05";"M04AA01";"Medreg s.r.o.";"08595566456696 ¦ Rp ¦ 151624
30 tabl.
08595566456702 ¦ Rp ¦ 151625
50 tabl.
08595566456719 ¦ Rp ¦ 151626
60 tabl.
08595566456726 ¦ Rp ¦ 151627
90 tabl.
08595566456740 ¦ Rp ¦ 151628
120 tabl.
08595566456733 ¦ Rp ¦ 151629
100 tabl.";"Allopurinolum 300 mg";"";"";"";"";"Dr. Max Pharma s.r.o.
Medis International as, production plant Bolatice
Pharmazet Group s.r.o.";"Czechy
Czechy
Czechy";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46863/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46863/characteristic";"";"";"";"";"";""
"100468640";"Pirfenidone Aurovitas";"Pirfenidonum";"Ludzki";"";"";"doustna";"801 mg";"Tabletki";"DCP";"28049";"2028-10-19";"L04AX05";"Aurovitas Pharma Polska Sp. z o.o.";"05909991523695 ¦ Rpz ¦ 151673
252 tabl.
05909991523701 ¦ Rpz ¦ 151674
28 tabl.
05909991523718 ¦ Rpz ¦ 151675
84 tabl.
05909991523725 ¦ Rpz ¦ 151676
49 tabl.
05909991523732 ¦ Rpz ¦ 151677
168 tabl.
05909991523749 ¦ Rpz ¦ 151678
21 tabl.
05909991523756 ¦ Rpz ¦ 151679
63 tabl.
05909991523763 ¦ Rpz ¦ 151680
56 tabl.
05909991523770 ¦ Rpz ¦ 151681
7 tabl.
05909991523787 ¦ Rpz ¦ 151682
14 tabl.
05909991523794 ¦ Rpz ¦ 151683
35 tabl.
05909991523800 ¦ Rpz ¦ 151684
42 tabl.";"Pirfenidonum 801 mg";"APL Swift Services (Malta) Ltd.
Arrow Generiques
Generis Farmacêutica, S.A.,";"Malta
Francja
Portugalia";"APL Swift Services (Malta) Ltd.
Arrow Generiques
Generis Farmacêutica, S.A.,";"Malta
Francja
Portugalia";"APL Swift Services (Malta) Ltd.
Arrow Generiques
Generis Farmacêutica, S.A.,";"Malta
Francja
Portugalia";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46864/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46864/characteristic";"";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/files/educational-tools-for-medical-practitioner/medicinal-product/46864/file/1 - Materiały edukacyjne dla osoby wykonującej zawód medyczny";""
"100468658";"Carboplatin Eugia";"Carboplatinum";"Ludzki";"";"";"dożylna";"10 mg/ml";"Koncentrat do sporządzania roztworu do infuzji";"DCP";"28257";"2029-02-12";"L01XA02";"Eugia Pharma (Malta) Ltd.";"05909991531249 ¦ Lz ¦ 153170
1 fiol. 5 ml
05909991531256 ¦ Lz ¦ 153171
1 fiol. 15 ml
05909991531263 ¦ Lz ¦ 153172
1 fiol. 45 ml
05909991531270 ¦ Lz ¦ 153173
1 fiol. 60 ml
05909991531287 ¦ Lz ¦ 153174
10 fiol. 5 ml
05909991531294 ¦ Lz ¦ 153175
10 fiol. 15 ml
05909991531300 ¦ Lz ¦ 153176
10 fiol. 45 ml
05909991531317 ¦ Lz ¦ 153177
10 fiol. 60 ml";"Carboplatinum 10 mg/ml";"";"";"";"";"APL Swift Services (Malta) Ltd.
Arrow Génériques
Generis Farmacêutica, S.A.,";"Malta
Francja
Portugalia";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46865/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46865/characteristic";"";"";"";"";"";""
"100468665";"Tardyferon";"Ferrosi sulfas";"Ludzki";"";"";"doustna";"80 mg Fe2+";"Tabletki o przedłużonym uwalnianiu";"IR";"216/22";"2027-05-16";"B03AA07";"InPharm Sp. z o.o.";"05909991483364 ¦ Rp ¦ 144998
30 tabl.";"Ferrosi sulfas 80 mg";"";"";"";"";"";"";"Pierre Fabre Farmaka A.E.";"Grecja";"";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46866/parallel-import-files/LEAFLET/public";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46866/parallel-import-files/PACKAGE_MARKING/public";"";""
"100468672";"NO-SPA Forte";"Drotaverini hydrochloridum";"Ludzki";"";"";"doustna";"80 mg";"Tabletki";"IR";"217/22";"2027-05-16";"A03AD02";"InPharm Sp. z o.o.";"05909991483371 ¦ Rp ¦ 144999
24 tabl.
05909991483388 ¦ Rp ¦ 145000
48 tabl.";"Drotaverini hydrochloridum 80 mg";"";"";"";"";"";"";"Opella Healthcare France SAS";"Litwa";"";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46867/parallel-import-files/LEAFLET/public";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46867/parallel-import-files/PACKAGE_MARKING/public";"";""
"100468680";"Gutron";"Midodrini hydrochloridum";"Ludzki";"";"";"doustna";"2,5 mg";"Tabletki";"IR";"218/22";"2027-05-16";"C01CA17";"Aga Kommerz spol. s r.o.";"05909991483395 ¦ Rp ¦ 145001
20 tabl.";"Midodrini hydrochloridum 2.5 mg";"";"";"";"";"";"";"Cheplapharm Arzneimittel GmbH";"Rumunia";"";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46868/parallel-import-files/LEAFLET/public";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46868/parallel-import-files/PACKAGE_MARKING/public";"";""
"100468697";"Atarax";"Hydroxyzini hydrochloridum";"Ludzki";"";"";"doustna";"25 mg";"Tabletki powlekane";"IR";"209/22";"2027-05-16";"N05BB01";"Delfarma Sp. z o.o.";"05909991483401 ¦ Rp ¦ 145002
25 tabl.";"Hydroxyzini hydrochloridum 25 mg";"";"";"";"";"";"";"UCB A.E.";"Grecja";"";"";"";"";"";"";"";"";""
"100468717";"Diuver";"Torasemidum";"Ludzki";"";"";"doustna";"10 mg";"Tabletki";"IR";"219/22";"2027-05-17";"C03CA04";"Medezin Sp. z o.o.";"05909991483500 ¦ Rp ¦ 145039
30 tabl.";"Torasemidum 10 mg";"";"";"";"";"";"";"AbZ-Pharma GmbH";"Niemcy";"";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46871/parallel-import-files/LEAFLET/public";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46871/parallel-import-files/PACKAGE_MARKING/public";"";""
"100468724";"Montelukast Teva";"Montelukastum";"Ludzki";"";"";"doustna";"10 mg";"Tabletki powlekane";"IR";"212/22";"2027-05-18";"R03DC03";"Procareplus Pharma S.A.";"05909991483517 ¦ Rp ¦ 145040
28 tabl.";"Montelukastum 10 mg";"";"";"";"";"";"";"Teva Pharmaceuticals CR, s.r.o.";"Czechy";"";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46872/parallel-import-files/LEAFLET/public";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46872/parallel-import-files/PACKAGE_MARKING/public";"";""
"100468731";"Utrogestan";"Progesteronum";"Ludzki";"";"";"dopochwowa";"200 mg";"Kapsułki dopochwowe, miękkie";"IR";"210/22";"2027-05-17";"G03DA04";"Delfarma Sp. z o.o.";"05909991483609 ¦ Rp ¦ 145049
15 kaps.
05909991483616 ¦ Rp ¦ 145050
45 kaps.";"Progesteronum 200 mg";"";"";"";"";"";"";"Besins Healthcare SA";"Belgia";"";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46873/parallel-import-files/LEAFLET/public";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46873/parallel-import-files/PACKAGE_MARKING/public";"";""
"100468749";"Sortis 80";"Atorvastatinum";"Ludzki";"";"";"doustna";"80 mg";"Tabletki powlekane";"IR";"220/22";"2027-05-17";"C10AA05";"InPharm Sp. z o.o.";"05909991483685 ¦ Rp ¦ 145056
30 tabl.";"Atorvastatinum 80 mg";"";"";"";"";"";"";"Upjohn EESV";"Czechy";"";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46874/parallel-import-files/LEAFLET/public";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46874/parallel-import-files/PACKAGE_MARKING/public";"";""
"100468756";"Dimethyl fumarate Neuraxpharm";"Dimethylis fumaras";"Ludzki";"";"";"doustna";"120 mg";"Kapsułki dojelitowe, twarde";"CEN";"";"2023-12-13";"L04AX07";"Laboratorios Lesvi, S.L.";"Rpz ¦ EU/1/22/1637/002 ¦ 145057
56 kaps.
05909991483746 ¦ Rpz ¦ EU/1/22/1637/001 ¦ 145058
14 kaps.
Rpz ¦ EU/1/22/1637/006 ¦ 152313
14 kaps.";"Dimethylis fumaras 120 mg";"Laboratorios Lesvi S.L.
neuraxpharm Arzneimittel GmbH
Zakłady Farmaceutyczne POLPHARMA S.A.
Zakłady Farmaceutyczne POLPHARMA S.A. Oddział Produkcyjny w Nowej Dębie ";"Hiszpania
Niemcy
Polska
Polska";"";"";"Laboratorios Lesvi S.L.
neuraxpharm Arzneimittel GmbH
Zakłady Farmaceutyczne POLPHARMA S.A.
Zakłady Farmaceutyczne POLPHARMA S.A. Oddział Produkcyjny w Nowej Dębie ";"Hiszpania
Niemcy
Polska
Polska";"";"";"";"";"";"";"";"";"";"";""
"100468763";"Dimethyl fumarate Neuraxpharm";"Dimethylis fumaras";"Ludzki";"";"";"doustna";"240 mg";"Kapsułki dojelitowe, twarde";"CEN";"";"2023-12-13";"L04AX07";"Laboratorios Lesvi, S.L.";"Rpz ¦ EU/1/22/1637/005 ¦ 145059
168 kaps.
05909991483753 ¦ Rpz ¦ EU/1/22/1637/004 ¦ 145060
56 kaps.
Rpz ¦ EU/1/22/1637/003 ¦ 145061
14 kaps.
Rpz ¦ EU/1/22/1637/008 ¦ 152314
196 kaps.
Rpz ¦ EU/1/22/1637/007 ¦ 152315
56 kaps.";"Dimethylis fumaras 240 mg";"Laboratorios Lesvi S.L.
neuraxpharm Arzneimittel GmbH
Zakłady Farmaceutyczne POLPHARMA S.A.
Zakłady Farmaceutyczne POLPHARMA S.A. Oddział Produkcyjny w Nowej Dębie ";"Hiszpania
Niemcy
Polska
Polska";"";"";"Laboratorios Lesvi S.L.
neuraxpharm Arzneimittel GmbH
Zakłady Farmaceutyczne POLPHARMA S.A.
Zakłady Farmaceutyczne POLPHARMA S.A. Oddział Produkcyjny w Nowej Dębie ";"Hiszpania
Niemcy
Polska
Polska";"";"";"";"";"";"";"";"";"";"";""
"100468770";"KIMMTRAK";"Tebentafuspum";"Ludzki";"";"";"dożylna";"100 mcg/0,5 ml";"Koncentrat do sporządzania roztworu do infuzji";"CEN";"";"";"";"Immunocore Ireland Ltd.";"05056416800036 ¦ Rpz ¦ EU/1/22/1630/001 ¦ 145067
1 fiol. 0,5 ml";"Tebentafuspum 100 mcg/0,5 ml";"ProPharma Group The Netherlands B.V.";"Holandia";"";"";"ProPharma Group The Netherlands B.V.";"Holandia";"";"";"";"";"";"";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/files/educational-tools-for-medical-practitioner/medicinal-product/46877/file/1 - Materiały edukacyjne dla osoby wykonującej zawód medyczny";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/files/educational-tools-for-patient/medicinal-product/46877/file/1 - Materiały edukacyjne dla pacjenta"
"100468788";"Breyanzi";"Lisocabtagene maraleucel";"Ludzki";"";"";"dożylna";"1,1–70 × 106 komórek/ml / 1,1–70 × 10
6 komórek/ml";"Dyspersja do infuzji";"CEN";"";"";"L01XL08";"Bristol-Myers Squibb Pharma EEIG";"08027950801787 ¦ Rpz ¦ EU/1/22/1631/001 ¦ 145068
1 zestaw";"lisocabtagenum maraleucelum 1,1–70 × 106 komórek/ml / 1,1–70 × 10
6 komórek/ml";"Celgene Distribution B.V.";"Holandia";"";"";"BMS Netherlands Operations B.V.
Celgene Distribution B.V.";"Holandia
Holandia";"";"";"";"";"";"";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/files/educational-tools-for-medical-practitioner/medicinal-product/46878/file/1 - Przewodnik dla pracowników ochrony zdrowia
https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/files/educational-tools-for-medical-practitioner/medicinal-product/46878/file/2 - Przewodnik obsługi i podawania leku";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/files/educational-tools-for-patient/medicinal-product/46878/file/1 - Karta pacjenta"
"100468795";"Citabax 20";"Citalopramum";"Ludzki";"";"";"doustna";"20 mg";"Tabletki powlekane";"IR";"211/22";"2027-05-17";"N06AB04";"Delfarma Sp. z o.o.";"05909991483760 ¦ Rp ¦ 145069
30 tabl.";"Citalopramum 20 mg";"";"";"";"";"";"";"Basics GmbH";"Niemcy";"";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46879/parallel-import-files/LEAFLET/public";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46879/parallel-import-files/PACKAGE_MARKING/public";"";""
"100468808";"Sitagliptin Accord";"Sitagliptinum";"Ludzki";"";"";"doustna";"25 mg";"Tabletki powlekane";"CEN";"";"";"A10BH01";"Accord Healthcare S.L.U.";"Rp ¦ EU/1/22/1633/001 ¦ 145071
28 tabl.
Rp ¦ EU/1/22/1633/004 ¦ 145072
98 tabl.
Rp ¦ EU/1/22/1633/005 ¦ 145073
100 tabl.
Rp ¦ EU/1/22/1633/002 ¦ 145074
30 tabl.
Rp ¦ EU/1/22/1633/003 ¦ 145075
56 tabl.";"Sitagliptinum 25 mg";"Accord Healthcare B.V.
Accord Healthcare Polska Sp. z o.o.
Pharmadox Healthcare Ltd.";"Holandia
Polska
Malta";"";"";"Accord Healthcare B.V.
Accord Healthcare Polska Sp. z o.o.
Pharmadox Healthcare Ltd.";"Holandia
Polska
Malta";"";"";"";"";"";"";"";"";"";"";""
"100468815";"Sitagliptin Accord";"Sitagliptinum";"Ludzki";"";"";"doustna";"50 mg";"Tabletki powlekane";"CEN";"";"";"A10BH01";"Accord Healthcare S.L.U.";"Rp ¦ EU/1/22/1633/008 ¦ 145076
56 tabl.
Rp ¦ EU/1/22/1633/006 ¦ 145077
28 tabl.
Rp ¦ EU/1/22/1633/007 ¦ 145078
30 tabl.
Rp ¦ EU/1/22/1633/009 ¦ 145079
98 tabl.
Rp ¦ EU/1/22/1633/010 ¦ 145080
100 tabl.";"Sitagliptinum 50 mg";"Accord Healthcare B.V.
Accord Healthcare Polska Sp. z o.o.
Pharmadox Healthcare Ltd.";"Holandia
Polska
Malta";"";"";"Accord Healthcare B.V.
Accord Healthcare Polska Sp. z o.o.
Pharmadox Healthcare Ltd.";"Holandia
Polska
Malta";"";"";"";"";"";"";"";"";"";"";""
"100468822";"Sitagliptin Accord";"Sitagliptinum";"Ludzki";"";"";"doustna";"100 mg";"Tabletki powlekane";"CEN";"";"";"A10BH01";"Accord Healthcare S.L.U.";"Rp ¦ EU/1/22/1633/014 ¦ 145081
98 tabl.
Rp ¦ EU/1/22/1633/013 ¦ 145082
56 tabl.
Rp ¦ EU/1/22/1633/015 ¦ 145083
100 tabl.
Rp ¦ EU/1/22/1633/011 ¦ 145084
28 tabl.
Rp ¦ EU/1/22/1633/012 ¦ 145085
30 tabl.";"Sitagliptinum 100 mg";"Accord Healthcare B.V.
Accord Healthcare Polska Sp. z o.o.
Pharmadox Healthcare Ltd.";"Holandia
Polska
Malta";"";"";"Accord Healthcare B.V.
Accord Healthcare Polska Sp. z o.o.
Pharmadox Healthcare Ltd.";"Holandia
Polska
Malta";"";"";"";"";"";"";"";"";"";"";""
"100468830";"Amantix";"Amantadini sulfas";"Ludzki";"";"";"doustna";"100 mg";"Tabletki powlekane";"IR";"213/22";"2027-05-18";"N04BB01";"Delfarma Sp. z o.o.";"05909991483777 ¦ Rp ¦ 145086
30 tabl.
05909991483784 ¦ Rp ¦ 145087
100 tabl.";"Amantadini sulfas 100 mg";"";"";"";"";"";"";"Merz Pharmaceuticals GmbH";"Czechy";"";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46883/parallel-import-files/LEAFLET/public";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46883/parallel-import-files/PACKAGE_MARKING/public";"";""
"100468847";"Dimethyl fumarate Mylan";"Dimethylis fumaras";"Ludzki";"";"";"doustna";"120 mg";"Kapsułki dojelitowe, twarde";"CEN";"";"2023-12-13";"L04AX07";"Mylan Ireland Limited";"Rpz ¦ EU/1/22/1634/001 ¦ 145091
14 kaps. w blistrze
Rpz ¦ EU/1/22/1634/002 ¦ 147859
14 kaps. w blistrze perforowanym
Rpz ¦ EU/1/22/1634/004 ¦ 147860
60 kaps.
Rpz ¦ EU/1/22/1634/003 ¦ 147861
14 kaps. w butelce";"Dimethylis fumaras 120 mg";"McDermott Laboratories Limited (t.a. Gerard Laboratories)
Mylan Germany GmbH
Mylan Hungary Kft.";"Irlandia
Niemcy
Węgry";"";"";"McDermott Laboratories Limited (t.a. Gerard Laboratories)
Mylan Germany GmbH
Mylan Hungary Kft.";"Irlandia
Niemcy
Węgry";"";"";"";"";"";"";"";"";"";"";""
"100468854";"Asentra";"Sertralinum";"Ludzki";"";"";"doustna";"100 mg";"Tabletki powlekane";"IR";"214/22";"2027-05-18";"N06AB06";"Delfarma Sp. z o.o.";"05909991483791 ¦ Rp ¦ 145092
84 tabl.
05909991483807 ¦ Rp ¦ 145093
28 tabl.";"Sertralinum 100 mg";"";"";"";"";"";"";"Krka, d.d., Novo mesto";"Irlandia";"";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46885/parallel-import-files/LEAFLET/public";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46885/parallel-import-files/PACKAGE_MARKING/public";"";""
"100468861";"Dimethyl fumarate Mylan";"Dimethylis fumaras";"Ludzki";"";"";"doustna";"240 mg";"Kapsułki dojelitowe, twarde";"CEN";"";"2023-12-13";"L04AX07";"Mylan Ireland Limited";"Rpz ¦ EU/1/22/1634/006 ¦ 147863
56 kaps. w blistrze perforowanym
Rpz ¦ EU/1/22/1634/005 ¦ 147864
56 kaps. w blistrze
Rpz ¦ EU/1/22/1634/009 ¦ 147865
56 kaps. w butelce
Rpz ¦ EU/1/22/1634/010 ¦ 147866
168 kaps. w butelce
Rpz ¦ EU/1/22/1634/008 ¦ 147867
168 kaps. w blistrze perforowanym
Rpz ¦ EU/1/22/1634/007 ¦ 147868
168 kaps. w blistrze";"Dimethylis fumaras 240 mg";"McDermott Laboratories Limited (t.a. Gerard Laboratories)
Mylan Germany GmbH
Mylan Hungary Kft.";"Irlandia
Niemcy
Węgry";"";"";"McDermott Laboratories Limited (t.a. Gerard Laboratories)
Mylan Germany GmbH
Mylan Hungary Kft.";"Irlandia
Niemcy
Węgry";"";"";"";"";"";"";"";"";"";"";""
"100468879";"Sudafed XyloSpray HA dla dzieci";"Xylometazolini hydrochloridum";"Ludzki";"";"";"donosowa";"0,5 mg/ml";"Aerozol do nosa, roztwór";"IR";"221/22";"2027-05-20";"R01AA07";"Delfarma Sp. z o.o.";"05909991483975 ¦ OTC ¦ 145112
1 butelka 10 ml";"Xylometazolini hydrochloridum 0.5 mg/ml";"";"";"";"";"";"";"Johnson & Johnson GmbH";"Niemcy";"";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46887/parallel-import-files/LEAFLET/public";"";"";"";""
"100468886";"Ospamox";"Amoxicillinum";"Ludzki";"";"";"doustna";"500 mg/5 ml";"Proszek do sporządzania zawiesiny doustnej";"IR";"223/22";"2027-05-20";"J01CA04";"InPharm Sp. z o.o.";"05909991484033 ¦ Rp ¦ 145118
1 butelka 20 g";"Amoxicillinum 500 mg/5 ml";"";"";"";"";"";"";"Sandoz GmbH";"Bułgaria";"";"";"";"";"";"";"";"";""
"100468893";"Gyno-Pevaryl 150";"Econazoli nitras";"Ludzki";"";"";"dopochwowa";"150 mg";"Globulki";"IR";"227/22";"2027-05-20";"G01AF05";"InPharm Sp. z o.o.";"05909991484040 ¦ Rp ¦ 145119
3 szt.";"Econazoli nitras 150 mg";"";"";"";"";"";"";"Karo Pharma AB";"Bułgaria";"";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46889/parallel-import-files/LEAFLET/public";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46889/parallel-import-files/PACKAGE_MARKING/public";"";""
"100468906";"Diprosalic";"Betamethasoni dipropionas + Acidum salicylicum";"Ludzki";"";"";"na skórę";"(0,64 mg + 30 mg)/g";"Maść";"IR";"224/22";"2027-05-20";"D07XC01";"InPharm Sp. z o.o.";"05909991484057 ¦ Rp ¦ 145120
1 tuba 15 g";"Betamethasoni dipropionas 0.64 mg/g + Acidum salicylicum 30 mg/g";"";"";"";"";"";"";"N.V. Organon";"Czechy";"";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46890/parallel-import-files/LEAFLET/public";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46890/parallel-import-files/PACKAGE_MARKING/public";"";""
"100468913";"Gopten 0,5";"Trandolaprilum";"Ludzki";"";"";"doustna";"0,5 mg";"Kapsułki twarde";"IR";"238/22";"2027-06-01";"C09AA10";"Aga Kommerz spol. s r.o.";"05909991484736 ¦ Rp ¦ 145205
30 tabl.";"Trandolaprilum 0.5 mg";"";"";"";"";"";"";"Mylan Healthcare GmbH";"Rumunia";"";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46891/parallel-import-files/LEAFLET/public";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/46891/parallel-import-files/PACKAGE_MARKING/public";"";""
